strategy,fills,volume_base,notional_usdt,pnl_bps_of_notional,spread_capture,inventory_pnl,total_pnl,ci_lo,ci_hi,mean_abs_inv,markout1,markout5,markout30,wait_s,cancels
touch,1438,8.5363,23073.52,-1.305305822431948,0.0258,-3.0376,-3.0118,-5.023458058749752,-1.4019998687486772,0.0585,-25.0265,-32.3314,-51.7806,1.417,784
fixed h=2,1439,6.253,16907.81,-2.08820657435824,0.1044,-3.6352,-3.5307,-5.801317374999906,-1.6938902499996995,0.06175,-33.3455,-40.8471,-54.5612,2.218,718
fixed h=10,914,4.64,12549.73,-1.9730304954767954,0.4138,-2.8899,-2.4761,-4.611228750000142,-0.677896250000056,0.06552,-38.1507,-42.7863,-43.9813,1.803,896
fixed h=35,192,1.2481,3378.26,-5.1911338973317624,0.3845,-2.1382,-1.7537,-3.884093037500399,0.09887194999965562,0.04476,-62.276,-82.8385,-90.8189,2.03,1272
fixed h=100,11,0.11,297.98,-7.493791529632861,0.1036,-0.3269,-0.2233,-1.048682500000088,0.5369050000000622,0.01641,-139.9545,-201.3182,-124.5909,0.959,1507
as g=1.16e-05,227,1.36,3681.56,-4.604298177946306,0.4003,-2.0954,-1.6951,-3.5085499999999183,-0.2431787500001006,0.03637,-61.8458,-67.2115,-76.0616,1.771,1305
as g=0.000116,221,1.4113,3819.71,-2.4192936112950982,0.4053,-1.3293,-0.9241,-1.9032737125001118,-0.17236676250009977,0.01537,-60.2104,-51.69,-63.3057,1.992,1468
as g=0.00116,95,0.76,2053.95,-1.3369361474232577,0.2083,-0.4829,-0.2746,-0.5126499999999602,-0.08329499999999872,0.00529,-50.0526,-42.0421,-69.2931,1.49,2101
as g=0.0116,27,0.22,594.27,-1.4925875443821832,0.0553,-0.144,-0.0887,-0.1573549999999975,-0.032495000000002744,0.00061,-72.2963,-63.6296,-76.0556,0.919,6172
