strategy,fills,volume_base,notional_usdt,pnl_bps_of_notional,spread_capture,inventory_pnl,total_pnl,ci_lo,ci_hi,mean_abs_inv,markout1,markout5,markout30,wait_s,cancels
touch,1246,4.38825,369184.46,-1.3960690544775367,-0.2938,-51.2469,-51.5407,-76.34319331623504,-27.660822299982602,0.07356,-471.7476,-754.8189,-874.8054,3.174,434
fixed h=2,512,2.97031,249895.13,-1.780967080070748,-0.318,-44.1875,-44.5055,-71.77577257749859,-18.81849532123835,0.06665,-838.0107,-1106.6787,-1358.3271,6.334,409
fixed h=10,297,2.91,244820.26,-1.841497921781473,-0.0868,-44.9968,-45.0836,-71.99378250001897,-19.18677375000664,0.06735,-820.9108,-1136.904,-1357.9237,5.192,411
fixed h=100,297,2.76,232198.21,-1.59726468175616,2.3718,-39.4601,-37.0882,-62.17612750000091,-14.245910000008923,0.0648,-878.5168,-1169.6044,-1178.6639,4.493,442
fixed h=412,201,1.99,167428.48,-1.59572015465947,7.4483,-34.1652,-26.7169,-46.05024499999691,-9.061407500009217,0.05544,-1012.5025,-1284.801,-1333.9,4.2,608
as g=9.72e-07,217,2.01,169111.66,-1.4563218171946275,7.4618,-32.0899,-24.6281,-44.42481500000463,-6.456061249997828,0.05008,-1002.6175,-1281.6866,-1285.1157,1.613,1769
as g=9.72e-06,231,2.02,169965.96,-1.483832409736632,7.2479,-32.468,-25.2201,-44.40724624999667,-10.221882499996106,0.03294,-982.9221,-1287.0173,-1321.1826,0.707,8276
as g=9.72e-05,164,1.31,110231.38,-1.649720796383026,4.2615,-22.4466,-18.1851,-27.139007500000737,-11.219336250001996,0.01209,-937.0335,-1194.6372,-1255.1074,0.724,18293
as g=0.000972,66,0.57586,48445.69,-1.4370731431423518,1.9587,-8.9207,-6.962,-9.878593193749364,-4.364687207498963,0.00451,-828.6364,-967.7727,-1033.6,2.756,27358
