strategy,fills,volume_base,notional_usdt,pnl_bps_of_notional,spread_capture,inventory_pnl,total_pnl,ci_lo,ci_hi,mean_abs_inv,markout1,markout5,markout30,wait_s,cancels
touch,353,2.13,5735.92,-0.8070196237046542,0.0009,-0.4637,-0.4629,-0.8349304687503625,-0.1737754687501097,0.05209,-13.8457,-15.1642,-0.7949,2.826,172
fixed h=2,365,1.38349,3726.0,-1.3013955984970478,0.0247,-0.5095,-0.4849,-0.893559988750176,-0.1713916974998141,0.05313,-23.6705,-23.1906,0.6721,3.896,162
fixed h=10,218,0.89,2396.99,-0.7934951751988953,0.081,-0.2711,-0.1902,-0.4775099999998181,0.03071249999986912,0.04066,-31.9631,-27.2085,0.7826,3.231,236
fixed h=17,104,0.52,1400.53,-1.2445288569327326,0.0768,-0.2511,-0.1743,-0.5407887499997177,0.06885124999997075,0.03143,-36.0192,-31.5769,6.913,2.822,263
fixed h=100,1,0.01,26.94,-10.393466963622865,-0.001,-0.027,-0.028,-0.07194999999999221,0.00450624999998903,0.00229,32.0,-82.0,-133.0,4.245,323
as g=2.34e-05,102,0.52,1400.55,-0.8725143693548963,0.0767,-0.1989,-0.1222,-0.4100125000000687,0.06595249999992646,0.02471,-35.0686,-28.6863,11.2903,3.12,274
as g=0.000234,122,0.57,1535.33,-0.5894498251190298,0.0813,-0.1717,-0.0905,-0.26031500000005275,0.03215250000000611,0.01767,-33.5372,-31.2881,-5.6481,2.915,294
as g=0.00234,66,0.4,1077.31,-0.6525512619394603,0.0547,-0.125,-0.0703,-0.1645012499999882,0.006799999999993487,0.00804,-29.9394,-31.15,-11.3962,2.571,502
as g=0.0234,38,0.3,807.66,-0.2315330708466434,0.04,-0.0587,-0.0187,-0.0428024999999966,0.0027012499999838806,0.00178,-30.6053,-28.4737,-10.5676,3.108,1874
