t_s,mid_ticks,inv_btc,pnl_usdt
0.004324484,269770.5,0,0
1.099599348,269770.5,0,0
2.100550457,269770.5,0,0
3.148629407,269783.5,-0.01,-0.00105000000000131
4.102936906,269799.5,-0.02,-0.00399999999999919
5.100220474,269799.5,-0.02,-0.00399999999999919
6.096074864,269799.5,-0.02,-0.00399999999999919
7.09749539,269784.5,-0.01,-0.00225000000001159
8.097331799,269799.5,-0.02,-0.00500000000000397
9.095733054,269799.5,-0.02,-0.00500000000000397
10.096625685,269799.5,-0.02,-0.00500000000000397
11.098332329,269798.5,-0.02,-0.00480000000000869
12.098489001,269738.5,0,-0.00280000000000413
13.097083404,269787.5,-0.02,-0.00869999999999548
14.099564515,269787.5,-0.02,-0.00869999999999548
15.09734821,269787.5,-0.02,-0.00869999999999548
16.097029056,269787.5,-0.02,-0.00869999999999548
17.09761055,269746.5,-0.01,-0.0043500000000003
18.098330101,269746.5,-0.01,-0.0043500000000003
19.14156686,269799.5,-0.02,-0.014699999999992
20.099852689,269799.5,-0.02,-0.014699999999992
21.098159406,269799.5,-0.02,-0.014699999999992
22.058165198,269866.5,-0.03,-0.0345500000000135
23.101665307,269899.5,-0.04,-0.0475000000000102
24.098950201,269956.5,-0.07,-0.0791500000000218
25.101365157,269983.5,-0.08,-0.100500000000002
26.098861604,269983.5,-0.08,-0.100500000000002
27.101040667,269999.5,-0.1,-0.115700000000005
28.031253233,270013.5,-0.1,-0.12970000000002
29.015646932,269943.5,-0.06,-0.0767000000000427
30.006379479,269943.5,-0.06,-0.0767000000000427
31.043758117,269943.5,-0.06,-0.0767000000000427
32.007098853,269878.5,-0.04,-0.0484000000000333
33.073786608,269878.5,-0.04,-0.0484000000000333
34.10175253,269878.5,-0.04,-0.0484000000000333
35.101576236,269878.5,-0.04,-0.0484000000000333
36.008560393,269878.5,-0.04,-0.0484000000000333
37.026469325,269879.5,-0.04,-0.048800000000042
38.087971372,269879.5,-0.04,-0.048800000000042
39.088800734,269879.5,-0.04,-0.048800000000042
40.089662684,269920.5,-0.05,-0.0691500000000229
41.090001173,269893.5,-0.04,-0.0581000000000034
42.088351908,269884.5,-0.03,-0.0551500000000061
43.08747259,269884.5,-0.03,-0.0551500000000061
44.088152184,269884.5,-0.03,-0.0551500000000061
45.087289376,269884.5,-0.03,-0.0551500000000061
46.090550015,269847.5,-0.01,-0.0505499999999991
47.089969809,269895.5,-0.02,-0.0598999999999961
48.088309476,269895.5,-0.02,-0.0598999999999961
49.088267444,269898.5,-0.03,-0.060550000000004
50.090738439,269950.5,-0.04,-0.0811000000000024
51.088821475,269950.5,-0.04,-0.0811000000000024
52.089441268,269950.5,-0.04,-0.0811000000000024
53.089769555,269920.5,-0.02,-0.0738999999999964
54.091915533,269920.5,-0.02,-0.0738999999999964
55.094429815,269920.5,-0.02,-0.0738999999999964
56.091810155,269894.5,0,-0.0711999999999939
57.091284121,269859.5,0.01,-0.0744499999999947
58.092386326,269859.5,0.01,-0.0744499999999947
59.093788403,269859.5,0.01,-0.0744499999999947
60.092021648,269859.5,0.01,-0.0744499999999947
61.093035459,269854.5,0.01,-0.0759499999999906
62.092930113,269854.5,0.01,-0.0759499999999906
63.094577101,269890.5,0,-0.0756999999999852
64.09440563,269890.5,0,-0.0756999999999852
65.096333985,269888.5,0,-0.0756999999999852
66.097982746,269854.5,0.01,-0.0788499999999874
67.097267035,269839.5,0.02,-0.081599999999994
68.09835582,269836.5,0.03,-0.0822499999999894
69.098884212,269836.5,0.03,-0.0822499999999894
70.106037127,269836.5,0.03,-0.0822499999999894
71.097806185,269840.5,0.02,-0.0811999999999688
72.100628917,269840.5,0.02,-0.0811999999999688
73.098681149,269840.5,0.02,-0.0811999999999688
74.099910508,269840.5,0.02,-0.0811999999999688
75.102292915,269840.5,0.02,-0.0811999999999688
76.101286203,269840.5,0.02,-0.0811999999999688
77.10055777,269820.5,0.05,-0.0883499999999646
78.100837258,269825.5,0.04,-0.0860999999999661
79.10126446,269825.5,0.04,-0.0860999999999661
80.100053046,269825.5,0.04,-0.0860999999999661
81.101427941,269854.5,0.03,-0.0769499999999647
82.0982795,269854.5,0.03,-0.0769499999999647
83.097262446,269854.5,0.03,-0.0769499999999647
84.097185904,269854.5,0.03,-0.0769499999999647
85.097581805,269854.5,0.03,-0.0769499999999647
86.097470537,269854.5,0.03,-0.0769499999999647
87.100732729,269799.5,0.04,-0.0986999999999626
88.099428056,269799.5,0.04,-0.0986999999999626
89.005238963,269799.5,0.04,-0.0986999999999626
90.007549947,269799.5,0.04,-0.0986999999999626
91.102971091,269799.5,0.04,-0.0986999999999626
92.016085343,269777.5,0.05,-0.109449999999966
93.006348702,269799.5,0.04,-0.100399999999962
94.007514868,269799.5,0.04,-0.100399999999962
95.100508965,269776.5,0.06,-0.113499999999947
96.102038896,269776.5,0.06,-0.113499999999947
97.096038083,269737.5,0.07,-0.140549999999955
98.092966451,269737.5,0.07,-0.140549999999955
99.092140193,269725.5,0.08,-0.149899999999947
100.092442412,269725.5,0.08,-0.149899999999947
101.103007923,269725.5,0.08,-0.149899999999947
102.099858317,269711.5,0.09,-0.16224999999991
103.096201515,269711.5,0.09,-0.16224999999991
104.097570482,269711.5,0.09,-0.16224999999991
105.108750168,269711.5,0.09,-0.16224999999991
106.098002406,269711.5,0.09,-0.16224999999991
107.095098433,269711.5,0.09,-0.16224999999991
108.098124447,269711.5,0.09,-0.16224999999991
109.099608965,269711.5,0.09,-0.16224999999991
110.097224377,269711.5,0.09,-0.16224999999991
111.005965316,269685.5,0.1,-0.187999999999887
112.098372733,269685.5,0.1,-0.187999999999887
113.116201629,269685.5,0.1,-0.187999999999887
