t_s,mid_ticks,inv_btc,pnl_usdt
0.004060272,8401400.5,0,0
1.004559085,8401400.5,0,0
2.004702153,8401400.5,0,0
3.004544674,8401400.5,0,0
4.005328553,8401400.5,0,0
5.005766113,8401400.5,0,0
6.005458767,8401400.5,0,0
7.006804272,8401400.5,0,0
8.006262665,8401400.5,0,0
9.006861334,8400818.5,0.02,-0.0763000000002481
10.007772608,8400600.5,0.03,-0.131650000000211
11.007591916,8400011.5,0.04,-0.357200000000305
12.007071944,8400011.5,0.04,-0.357200000000305
13.007595816,8400011.5,0.04,-0.357200000000305
14.008664554,8400011.5,0.04,-0.357200000000305
15.100135822,8400011.5,0.04,-0.357200000000305
16.101029385,8400011.5,0.04,-0.357200000000305
17.100117108,8400011.5,0.04,-0.357200000000305
18.100442301,8400011.5,0.04,-0.357200000000305
19.101426701,8400011.5,0.04,-0.357200000000305
20.099858221,8400011.5,0.04,-0.357200000000305
21.098050543,8400011.5,0.04,-0.357200000000305
22.099475114,8400011.5,0.04,-0.357200000000305
23.085471258,8400011.5,0.04,-0.357200000000305
24.08456997,8400011.5,0.04,-0.357200000000305
25.082988981,8400011.5,0.04,-0.357200000000305
26.083183113,8400011.5,0.04,-0.357200000000305
27.083654687,8400011.5,0.04,-0.357200000000305
28.083984106,8400011.5,0.04,-0.357200000000305
29.084767549,8400011.5,0.04,-0.357200000000305
30.084574367,8400011.5,0.04,-0.357200000000305
31.084391353,8400011.5,0.04,-0.357200000000305
32.085795668,8400011.5,0.04,-0.357200000000305
33.085101869,8400011.5,0.04,-0.357200000000305
34.085503165,8400011.5,0.04,-0.357200000000305
35.085758861,8400011.5,0.04,-0.357200000000305
36.086368736,8400011.5,0.04,-0.357200000000305
37.086083001,8400011.5,0.04,-0.357200000000305
38.086013474,8400011.5,0.04,-0.357200000000305
39.087048046,8400011.5,0.04,-0.357200000000305
40.087187015,8400011.5,0.04,-0.357200000000305
41.087065117,8400011.5,0.04,-0.357200000000305
42.087657642,8400011.5,0.04,-0.357200000000305
43.088615682,8400011.5,0.04,-0.357200000000305
44.087415345,8400011.5,0.04,-0.357200000000305
45.087637665,8400011.5,0.04,-0.357200000000305
46.08777478,8400011.5,0.04,-0.357200000000305
47.088072909,8400011.5,0.04,-0.357200000000305
48.089016033,8400011.5,0.04,-0.357200000000305
49.088786708,8400011.5,0.04,-0.357200000000305
50.025864564,8400011.5,0.04,-0.357200000000305
51.089520381,8400011.5,0.04,-0.357200000000305
52.090443482,8400011.5,0.04,-0.357200000000305
53.089464083,8400011.5,0.04,-0.357200000000305
54.091444918,8400011.5,0.04,-0.357200000000305
55.090278235,8400011.5,0.04,-0.357200000000305
56.090849518,8400011.5,0.04,-0.357200000000305
57.09250323,8399600.5,0.06,-0.562600000000643
58.094214017,8399600.5,0.06,-0.562600000000643
59.09101622,8398840.5,0.07,-1.08454999999993
60.091925494,8398840.5,0.07,-1.08454999999993
61.092624087,8398840.5,0.07,-1.08454999999993
62.091803962,8398840.5,0.07,-1.08454999999993
63.093694368,8398840.5,0.07,-1.08454999999993
64.093558763,8398840.5,0.07,-1.08454999999993
65.093833338,8398840.5,0.07,-1.08454999999993
66.09272466,8398840.5,0.07,-1.08454999999993
67.093530778,8398840.5,0.07,-1.08454999999993
68.093768306,8398840.5,0.07,-1.08454999999993
69.093834457,8398840.5,0.07,-1.08454999999993
70.094408468,8398840.5,0.07,-1.08454999999993
71.094719759,8398840.5,0.07,-1.08454999999993
72.095605397,8398840.5,0.07,-1.08454999999993
73.095331778,8398840.5,0.07,-1.08454999999993
74.095260461,8398840.5,0.07,-1.08454999999993
75.088558906,8398840.5,0.07,-1.08454999999993
76.089135874,8398840.5,0.07,-1.08454999999993
77.090161698,8398840.5,0.07,-1.08454999999993
78.089815601,8398840.5,0.07,-1.08454999999993
79.09061905,8398840.5,0.07,-1.08454999999993
80.090920526,8399680.5,0.06,-0.570500000000142
81.091139302,8399680.5,0.06,-0.570500000000142
82.092458104,8399680.5,0.06,-0.570500000000142
83.091611884,8399680.5,0.06,-0.570500000000142
84.093749331,8399680.5,0.06,-0.570500000000142
85.09272193,8399680.5,0.06,-0.570500000000142
86.093778842,8399680.5,0.06,-0.570500000000142
87.092965979,8399680.5,0.06,-0.570500000000142
88.092821989,8399680.5,0.06,-0.570500000000142
89.092862093,8399680.5,0.06,-0.570500000000142
90.097090401,8399680.5,0.06,-0.570500000000142
91.09407163,8399680.5,0.06,-0.570500000000142
92.092483157,8399680.5,0.06,-0.570500000000142
93.091467966,8399680.5,0.06,-0.570500000000142
94.089716247,8399680.5,0.06,-0.570500000000142
95.089941602,8399680.5,0.06,-0.570500000000142
96.089523963,8399680.5,0.06,-0.570500000000142
97.090738298,8399680.5,0.06,-0.570500000000142
98.091805025,8399680.5,0.06,-0.570500000000142
99.090024765,8399680.5,0.06,-0.570500000000142
100.090761762,8399680.5,0.06,-0.570500000000142
101.092358887,8399680.5,0.06,-0.570500000000142
102.091458579,8399680.5,0.06,-0.570500000000142
103.091899978,8399680.5,0.06,-0.570500000000142
104.092299365,8399763.5,0.06,-0.520699999999747
105.085080983,8399763.5,0.06,-0.520699999999747
106.086015253,8399763.5,0.06,-0.520699999999747
107.086372676,8399763.5,0.06,-0.520699999999747
108.087506701,8399763.5,0.06,-0.520699999999747
109.086940941,8401095.5,0.05,0.155349999999686
110.103733628,8401095.5,0.05,0.155349999999686
111.086968816,8401484.5,0.04,0.320999999999473
112.086398133,8401484.5,0.04,0.320999999999473
113.098380639,8401484.5,0.04,0.320999999999473
114.099032075,8401484.5,0.04,0.320999999999473
115.099170788,8401484.5,0.04,0.320999999999473
116.098931197,8401484.5,0.04,0.320999999999473
117.100538184,8401484.5,0.04,0.320999999999473
118.100254181,8401484.5,0.04,0.320999999999473
119.100811857,8401484.5,0.04,0.320999999999473
120.101163644,8401484.5,0.04,0.320999999999473
121.101354037,8401484.5,0.04,0.320999999999473
122.10215045,8401484.5,0.04,0.320999999999473
123.102333799,8401484.5,0.04,0.320999999999473
124.103219327,8401484.5,0.04,0.320999999999473
125.102798874,8401484.5,0.04,0.320999999999473
126.102577238,8401484.5,0.04,0.320999999999473
127.105842906,8401484.5,0.04,0.320999999999473
128.102901095,8401484.5,0.04,0.320999999999473
129.103570567,8401484.5,0.04,0.320999999999473
130.130431202,8401484.5,0.04,0.320999999999473
131.004552161,8401484.5,0.04,0.320999999999473
132.103074643,8401484.5,0.04,0.320999999999473
133.004736205,8401484.5,0.04,0.320999999999473
134.103154884,8401484.5,0.04,0.320999999999473
135.098358095,8401484.5,0.04,0.320999999999473
136.098576597,8401484.5,0.04,0.320999999999473
137.09796087,8401484.5,0.04,0.320999999999473
138.098199433,8401484.5,0.04,0.320999999999473
139.099277209,8401484.5,0.04,0.320999999999473
140.098675263,8401484.5,0.04,0.320999999999473
141.099904408,8401484.5,0.04,0.320999999999473
142.099353305,8401484.5,0.04,0.320999999999473
143.099835618,8402200.5,0.02,0.535899999999727
144.100768535,8402200.5,0.02,0.535899999999727
145.100262589,8402200.5,0.02,0.535899999999727
146.099984908,8402200.5,0.02,0.535899999999727
147.100658272,8402200.5,0.02,0.535899999999727
148.100176689,8402849.5,0,0.575999999999794
149.10074022,8403200.5,-0.01,0.550949999999803
150.100805613,8403801.5,-0.02,0.440799999999746
151.101223437,8404691.5,-0.03,0.18384999999975
152.102162556,8404691.5,-0.03,0.18384999999975
153.102440367,8404691.5,-0.03,0.18384999999975
154.101510285,8404691.5,-0.03,0.18384999999975
155.101937309,8404691.5,-0.03,0.18384999999975
156.102031748,8404691.5,-0.03,0.18384999999975
157.101503854,8404691.5,-0.03,0.18384999999975
158.10423339,8404691.5,-0.03,0.18384999999975
159.103119439,8404691.5,-0.03,0.18384999999975
160.102289107,8404691.5,-0.03,0.18384999999975
161.102835191,8404691.5,-0.03,0.18384999999975
162.103562771,8404691.5,-0.03,0.18384999999975
163.1033177,8404691.5,-0.03,0.18384999999975
164.103305854,8404691.5,-0.03,0.18384999999975
165.097108271,8404691.5,-0.03,0.18384999999975
166.097272733,8405479.5,-0.04,-0.121299999999735
167.097489283,8405479.5,-0.04,-0.121299999999735
168.097853886,8405479.5,-0.04,-0.121299999999735
169.097342669,8405479.5,-0.04,-0.121299999999735
170.099433448,8405479.5,-0.04,-0.121299999999735
171.097888668,8405479.5,-0.04,-0.121299999999735
172.098382588,8405479.5,-0.04,-0.121299999999735
173.099850519,8404691.5,-0.03,0.125149999999705
174.09809904,8404691.5,-0.03,0.125149999999705
175.098924981,8404691.5,-0.03,0.125149999999705
176.101567116,8404691.5,-0.03,0.125149999999705
177.09953745,8404691.5,-0.03,0.125149999999705
178.099491459,8404691.5,-0.03,0.125149999999705
179.100447692,8404691.5,-0.03,0.125149999999705
180.10051867,8404691.5,-0.03,0.125149999999705
181.100621455,8404691.5,-0.03,0.125149999999705
182.100335845,8404691.5,-0.03,0.125149999999705
183.101544793,8404691.5,-0.03,0.125149999999705
184.101349793,8404691.5,-0.03,0.125149999999705
185.103030261,8404691.5,-0.03,0.125149999999705
186.101604105,8404691.5,-0.03,0.125149999999705
187.102496763,8404691.5,-0.03,0.125149999999705
188.101482788,8404691.5,-0.03,0.125149999999705
189.101682646,8404691.5,-0.03,0.125149999999705
190.102253723,8405000.5,-0.04,0.0115999999999649
191.101758212,8405000.5,-0.04,0.0115999999999649
192.102164425,8405000.5,-0.04,0.0115999999999649
193.1016918,8405000.5,-0.04,0.0115999999999649
194.104492292,8405400.5,-0.05,-0.178349999999679
195.097314141,8405400.5,-0.05,-0.178349999999679
196.096807707,8405400.5,-0.05,-0.178349999999679
197.084568926,8405412.5,-0.05,-0.184349999999446
198.088920529,8405600.5,-0.06,-0.28709999999966
199.086783795,8405800.5,-0.07,-0.417049999999813
200.085540387,8405800.5,-0.07,-0.417049999999813
